Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0137379919351689,-1.38398821620354E-05,0.0914979341240593,0,0,0,184.898733869631,1.38202728170424,-9.65931157267895E-05,-0.0252419121213644,1.81256430495434,3.25324328856084E-05,2.63249014563406,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/base_link.STL,,差速底盘1-URDF-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_drive_left_link,8.24192969428594E-09,-0.0478513241137185,-4.87464030757279E-06,0,0,0,9.59255746550084,0.0320437998866374,-3.64364808497821E-08,1.70585754324619E-08,0.057985458130879,-2.48307109179278E-07,0.0320432966031676,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_drive_left_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_drive_left_link.STL,,8寸10Nm轮毂一体电机-1,Origin_wheel_drive_left_joint,Axis_wheel_drive_left_joint,wheel_drive_left_joint,continuous,-0.225,0.2886,0.1,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel_drive_right_link,-9.25107673799275E-09,0.047851323966976,-4.87477976174322E-06,0,0,0,9.59255749874282,0.0320437999553834,-3.65491406257208E-08,-1.6991208493464E-08,0.0579854583186422,2.48306397183979E-07,0.0320432967552465,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_drive_right_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_drive_right_link.STL,,8寸10Nm轮毂一体电机-2,Origin_wheel_drive_right_joint,Axis_wheel_drive_right_joint,wheel_drive_right_joint,continuous,-0.225,-0.2886,0.1,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_driven_left_link,-5.59650306042325E-07,-0.0254999976108827,3.19310203099332E-06,0,0,0,0.414371451670122,0.000661627636744862,-5.02429271427016E-09,1.12854106706407E-08,0.0011772776005513,-1.01936113028429E-09,0.000661566359999384,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_driven_left_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_driven_left_link.STL,,全向轮-R2-1509-28-硬度85A-负载150kg-1,Origin_wheel_driven_left_joint,Axis_wheel_driven_left_joint,wheel_driven_left_joint,continuous,0.266,0.282,0.075,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_driven_right_link,-5.59648388520628E-07,0.0255000023927983,3.19310189927924E-06,0,0,0,0.414371451663643,0.000661627636745372,-5.0242795548431E-09,1.12853744581104E-08,0.00117727760054074,-1.01943554870793E-09,0.000661566359984861,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_driven_right_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/wheel_driven_right_link.STL,,全向轮-R2-1509-28-硬度85A-负载150kg-2,Origin_wheel_driven_right_joint,Axis_wheel_driven_right_joint,wheel_driven_right_joint,continuous,0.266,-0.282,0.075,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
leg_low_link,-0.216883493233232,0.00795825336852886,0.0581166264620049,0,0,0,16.5305117961297,0.0456927805655381,2.89967041672681E-05,0.0290957358489561,0.16998164510068,-3.66957769966455E-07,0.145870769345791,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/leg_low_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/leg_low_link.STL,,下支腿组装-1,Origin_leg_low_joint,Axis_leg_low_joint,leg_low_joint,revolute,0.188,0,0.129,0,0,0,base_link,0,1,0,169,4.6,0,1.309,,,,,,,,
leg_up_link,0.185202350824797,-0.005827014951456,0.0144454009427329,0,0,0,5.79713516409942,0.00794845599673142,-1.20502205408508E-05,-0.011674300484542,0.0853096175728224,1.0032773872274E-05,0.0774558183904204,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/leg_up_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/leg_up_link.STL,,上支腿组装-1,Origin_leg_up_joint,Axis_leg_up_joint,leg_up_joint,revolute,-0.420177734435745,0,0.112586284619597,0,0,0,leg_low_link,0,1,0,169,0,-2.793,0,,,,,,,,
waist_low_link,0.00355965767558206,0.0140912227494941,0.000333802506439662,0,0,0,3.37968481795654,0.0124660482998311,-2.22760449513195E-07,-2.32084403610267E-05,0.0140474872539088,-1.62324847099825E-06,0.0192945862156376,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/waist_low_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/waist_low_link.STL,,腰部组装2-1,Origin_waist_low_joint,Axis_waist_low_joint,waist_low_joint,revolute,0.3693,0,0.065118,0,0,0,leg_up_link,0,-1,0,169,4.6,-1.396,0.175,,,,,,,,
waist_up_link,-0.0128845754420814,-7.78550208120067E-05,0.0808949997983816,0,0,0,4.10710736589949,0.00588567806777681,1.19929564794966E-05,-0.000965896243184923,0.00850509688284466,1.5606296897849E-05,0.00767462554160595,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/waist_up_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/waist_up_link.STL,,腰部组装1-1,Origin_waist_up_joint,Axis_waist_up_joint,waist_up_joint,revolute,0,0,0,0,0,0,waist_low_link,-1,0,0,169,4.6,-0.175,0.175,,,,,,,,
chest_link,-0.000107273270755104,6.21728220890888E-05,0.108903909477527,0,0,0,4.35938194963248,0.0480060620773452,-4.78243554502677E-06,-1.42138214133857E-08,0.0241076409007338,-2.97833183018696E-07,0.0318721455180768,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/chest_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://chasudipanjiqiren22/meshes/chest_link.STL,,胸部组装框架-1,Origin_chest_joint,Axis_chest_joint,chest_joint,revolute,0,0,0.2055,0,0,0,waist_up_link,0,0,1,169,4.6,-2.618,2.618,,,,,,,,
